00115,10/30/2014,7/8-20 UNEF 2B GO / NO GO GAGE,THREAD PLUG GAGE,365,11/08/2024,227,11/09/2023,
00117,08/29/2015,M13.5 X 1.0 6H L/H GO ONLY,THREAD PLUG GAGE,365,08/02/2024,129,08/03/2023,
00120,04/17/2019,M2 X 0.4-6H SPI GO / NO GO THREAD P,THREAD PLUG GAGE,365,04/02/2024,7,04/03/2023,
00122,05/21/2012,M12 X 1.5 6H GO / NO GO GAGE,THREAD PLUG GAGE,365,04/30/2024,35,05/01/2023,
00124,06/10/2009,1-5/16-18 UNEF-2B SOUTHERN GAGE. G,THREAD PLUG GAGE,365,04/30/2024,35,05/01/2023,
00125,06/04/2010,7/8-14 UNF-2B REGAL - BELOIT,THREAD PLUG GAGE,365,04/30/2024,35,05/01/2023,
00127,01/08/2014,"1/2-28 UNEF 2B ""OVERSIZE"" GO/NO GO G",THREAD PLUG GAGE,365,06/04/2024,70,06/05/2023,
00128,12/14/2015,"24"" VENIER CALIPER ( NO NAME )","VENIER CALIPER 18""",365,11/12/2024,231,11/13/2023,
00129,10/03/2015,10-32 UNF 2B STI GO/NO GO GAGE,STI THREAD PLUG,365,01/16/2025,296,01/17/2024,
00131,09/11/2018,M2.5 X 0.45 6H GO/NO GO THREAD GAGE,THREAD PLUG GAGE,365,11/08/2024,227,11/09/2023,
00132,05/21/2014,M30 X 2.0 6g GO / NO GO THD. PLUG G,THREAD PLUG GAGE,365,06/04/2024,70,06/05/2023,
00133,01/02/2014,1/2-28 UNEF 2B GO / NO GO THD. PLUG G,THREAD PLUG GAGE,365,01/16/2025,296,01/17/2024,
00134,11/16/2010,1-2 MITUTOYO I.D. MICROMETER,"1-2"" INSIDE MICROMET",365,04/03/2024,8,04/04/2023,
00135,10/05/2009,"0-1"" MITUTOYO PITCH MIC, MULTI ANVIL",PITCH MICROMETER,365,06/06/2024,72,06/07/2023,
00139,06/10/2009,10-32 UNF-2B GO/NO GO THREAD PLUG G,THREAD PLUG GAGE,365,10/02/2024,190,10/03/2023,
00140,04/28/2018,1/2-14 NPT L-1 PLUG GAGE,THREAD PLUG GAGE,1095,06/15/2024,81,06/16/2020,
00141,06/09/2009,10-32 UNF-2B +.005 GO/NO GO GAGE,THREAD PLUG GAGE,365,06/01/2024,67,06/09/2023,
00142,06/09/2009,"0-1"" MITUTOYO POINT MICROMETER","0 - 1"" PIN MICROMETE",365,02/01/2025,312,02/02/2024,
00144,09/19/2012,".125"" STARRETT DROP INDICATOR",DROP INDICATOR,365,10/01/2024,189,10/02/2023,
00149,04/13/2015,1/2-36 UNS-2B GO THREAD GAGE +.002,THREAD PLUG GAGE,365,06/04/2024,70,06/05/2023,
00150,05/28/2016,3-48 UNC-2B GO/NO GO GAGE (TITAN),THREAD PLUG GAGE,365,08/02/2024,129,08/03/2023,
